id,name,description,latitude,longitude,event_date,created_at,updated_at,news_link,glide_number,event_label,aoi_size,active_start_date,active_end_date,firstwatch_link,icon_id,available_in_r3,available_in_commercial
216,Massachusetts Tornados - Sturbridge,Tornado,42.1082,-72.0789,2011-06-02 00:00:00,2011-06-03 16:43:10.787266,2011-06-03 16:43:10.787266,,,,,,,,1,f,t
230,Jiangxi Flooding - Huanggang,Flooding has displaced thousands of people.,30.428,114.879,2011-06-12 15:45:00,2011-06-12 15:46:17.810356,2011-06-12 15:46:17.810356,,,,,,,,1,f,t
229,Jiangxi Flooding - Xiangyang,Flooding has displaced thousands of people.,27.806,114.426,2011-06-12 15:41:00,2011-06-12 15:45:01.3853,2011-06-12 15:46:40.444434,,,,,,,,1,f,t
231,Jiangxi Flooding - Xianning,Flooding has displaced thousands of people.,29.849,114.1404,2011-06-12 15:46:00,2011-06-12 15:48:17.833641,2011-06-12 15:48:17.833641,,,,,,,,1,f,t
232,Jiangxi Flooding - Xiushui,Flooding has displaced thousands of people.,29.013,114.548,2011-06-12 15:48:00,2011-06-12 15:49:42.690104,2011-06-12 15:49:42.690104,,,,,,,,1,f,t
362,Tropical Cyclone Tembin,"Tembin, the 14th storm of the Pacific typhoon season, is packing winds of 119 kph, with gusts of up to 155 kph, and has a radius of 150 km, the bureau said. 

",22.981153,120.211557,2012-08-20 21:02:00,2012-08-20 21:03:38.179722,2012-08-20 21:03:38.179722,http://www.chinapost.com.tw/taiwan/national/national-news/2012/08/21/351635/Typhoon-Tembin.htm,"",Yellow,16,2012-08-20 21:02:00,2012-09-05 21:02:00,"",8,f,t
233,Souris-Missouri River Flooding - Offutt,"Collection AOIs are defined for Minot ND, Sioux City IA, Offut and Fort Calhoun, NE.",41.1189,-95.9088,2011-06-29 11:15:00,2011-06-29 17:15:37.909463,2011-07-06 19:08:04.159354,,,,,,,,1,f,t
361,Tropical Cyclone Kai-Tak,"At least 27 people have been killed during a typhoon which swept across northern provinces of Vietnam over the weekend, officials have said.",21.012441,105.881309,2012-08-20 20:14:00,2012-08-20 20:16:41.076589,2012-09-24 22:38:30.077784,http://www.bbc.co.uk/news/world-asia-19312295,"",Yellow,16,2012-08-20 20:14:00,2012-09-05 20:14:00,"",8,f,t
378,Tropical Storm Leslie Over Bermuda,"The National Hurricane Center reports Leslie was located about 660km south-southeast of Bermuda with maximum sustained winds of 110kph. Before downgrading to tropical storm status, Leslie spent two days as a Category 1 hurricane over the Atlantic.",32.294642,-64.781528,2012-09-07 19:46:00,2012-09-07 19:54:17.200624,2012-09-07 19:55:12.748599,http://www.huffingtonpost.com/2012/09/07/hurricane-leslie-bermuda_n_1864892.html,"",Yellow,16,2012-09-07 19:46:00,2012-10-17 19:46:00,"",8,f,t
393,Wildfires in Central Washington,"More than 2,000 firefighters have contained about 30% of fires that cover 42,508 acres near Wenatchee.  The Table Mountain Fire near Cle Elum, meanwhile, is at 30,484 acres and 10% contained, with a high potential for further growth.",47.322,-120.512,2012-09-25 17:33:00,2012-09-25 17:38:23.749668,2012-09-25 17:38:23.749668,http://www.yakima-herald.com/stories/2012/09/25/progress-continues-against-central-washington-wildfires,"",Yellow,25,2012-09-25 17:33:00,2012-10-05 17:33:00,"",5,f,t
394,Wildfires in Northern Idaho,"Several wildfires continue to burn in Northern Idaho.  The McGuire Fire Complex, Wesley Fire and Sheep Fire are currently burning in and around the Nez Perce and Payette National Forest. ",45.624,-115.5,2012-09-25 17:43:00,2012-09-25 18:19:41.783251,2012-09-25 18:20:16.470803,http://inciweb.org/incident/3219/,"",Yellow,16,2012-09-25 17:43:00,2012-10-05 17:43:00,"",5,f,t
51,World Cup 2010 -  Soccer City,Sports,-26.234,27.982,2010-06-11 12:00:00,2011-05-24 12:00:00,2012-01-16 16:57:09.75527,"","",Yellow,10,2012-01-16 16:56:00,2012-02-15 16:56:00,"",1,f,t
363,"Ponderosa Fire, California","Firefighters were starting to gain the upper hand Tuesday on a fire that has burned almost 20,000 acres in Northern California, with the blaze 35% contained.

",40.436738,-121.773933,2012-08-21 15:28:00,2012-08-21 15:29:34.158828,2012-08-21 15:29:34.158828,http://latimesblogs.latimes.com/lanow/2012/08/ponderosa-fire-shasta-county-tehama-county-evacuations-manton-shingletown-viola.html,"",Yellow,16,2012-08-21 15:28:00,2012-08-31 15:28:00,"",5,f,t
395,"Shockey Wildfire, California","The Shockey Fire has burned roughly 3,000 acres near the Shockey Truck Trail and the Campo Indian Reservation and is moving east, according to Cal Fire officials. One person has died and 30 homes have been burned.",32.6477,-116.368,2012-09-25 18:35:00,2012-09-25 18:40:56.542045,2012-09-25 18:40:56.542045,http://www.nbcsandiego.com/news/local/Shockey-Deadly-Brush-Fire-San-Diego-Campo-Cal-Fire-171148671.html,"",Yellow,13,2012-09-25 18:35:00,2012-10-05 18:35:00,"",5,f,t
321,Plane Crash in Nigeria,"A passenger plane with about 150 people on board has crashed into buildings in a densely populated district of Nigeria's main city of Lagos.

",6.671,3.313,2012-06-04 16:44:00,2012-06-04 16:56:16.218538,2012-07-31 18:44:17.325149,http://www.bbc.co.uk/news/world-africa-18316130,"",Orange,16,2012-06-04 16:44:00,2012-06-13 16:44:00,"",20,f,t
364,Fires in California,"According to data provided by the U.S. Forest Service, wildfires had burned 276,252 acres across the state as of last week, excluding the large Rush fire on the Nevada border.
",40.568,-120.106,2012-08-22 15:17:00,2012-08-22 15:18:40.345102,2012-08-22 15:18:40.345102,http://www.modbee.com/2012/08/21/2338950/dry-winter-helped-fuel-states.html,"",Orange,25,2012-08-22 15:17:00,2012-09-01 15:17:00,"",5,f,t
397,Pipeline Explosion,"An explosion hit a pipeline just west of the city of Homs on February 15, 2012.",34.711,36.681,2012-10-10 14:08:00,2012-10-10 14:36:53.92409,2012-10-10 14:36:53.92409,http://www.bbc.co.uk/news/world-middle-east-17038164,"",Red,16,2012-10-10 14:08:00,2012-11-09 14:08:00,"",19,f,t
298,"Explosion in Brazzaville, Congo","Huge explosions at an arms depot, which killed at least 146 people in Congo's capital, Brazzaville, were caused by a short-circuit that led to a fire, government officials say.

",-4.243,15.294,2012-03-05 17:10:00,2012-03-05 17:13:45.13309,2012-09-10 20:29:52.430794,http://www.bbc.co.uk/news/world-africa-17254551,AC-2012-000035-COG,Orange,16,2012-03-05 17:10:00,2012-03-15 17:10:00,"",15,f,t
437,"Bomb Blast in Kano, Nigeria","A suicide car bomb attack at a bus stop in the Nigerian city of Kano has killed at least 22 people, police say. No group has admitted responsibility, but Islamist Boko Haram militants have previously attacked Kano.",12.018017,8.541285,2013-03-20 22:01:00,2013-03-20 22:06:48.325997,2013-03-20 22:07:19.086495,http://www.bbc.co.uk/news/world-africa-21845402,"",Yellow,16,2013-03-20 22:01:00,2013-03-21 22:01:00,"",19,f,t
352,Tropical Cyclone Saola-12,"From 28/07/2012 to 30/07/2012, a Hurricane/Typhoon > 74 mph (maximum wind speed of 194 km/h) SAOLA-12 was active in NWPacific. ",26.926815,120.213175,2012-07-30 15:26:00,2012-07-30 15:30:19.109297,2012-07-31 17:45:19.091218,http://www.chinapost.com.tw/taiwan/national/national-news/2012/07/30/349268/Bureau-warns.htm,"",Yellow,16,2012-07-30 15:26:00,2012-08-09 15:26:00,"",8,f,t
365,Flood in Russia,"At least four people have been killed overnight in flash floods in Russia's Black Sea region, officials said Wednesday.

",44.299265,38.879607,2012-08-22 19:06:00,2012-08-22 19:08:00.218318,2012-09-24 21:55:06.635351,http://www.huffingtonpost.com/2012/08/22/russia-floods-black-sea-region_n_1821289.html,"",Yellow,16,2012-08-22 19:06:00,2012-09-01 19:06:00,"",6,f,t
398,Artillery pounds Homs,Artillery positioned outside of Homs began shelling the neighborhood of Baba Amr in February.,34.6064,36.752,2012-10-10 14:37:00,2012-10-10 14:44:46.892462,2012-10-10 14:44:46.892462,http://www.businessweek.com/news/2012-02-06/syrian-forces-shell-cities-to-end-revolt-after-russian-veto.html,"",Red,16,2012-10-10 14:37:00,2012-11-09 14:37:00,"",19,f,t
399,Homs sees worst shelling in months,Aircraft and artillery continue to pound the Homs neighborhood of Al Khaldiyah.,34.745,36.721,2012-10-10 14:46:00,2012-10-10 14:49:44.349075,2012-10-10 14:49:44.349075,http://www.bbc.co.uk/news/world-middle-east-19845165,"",Red,16,2012-10-10 14:46:00,2012-11-09 14:46:00,"",19,f,t
400,Shelling of Jouret al-Shayah,Many clinics in the Homs neighborhood of Jouret al-Shayah were targeted and destroyed in late June/early July.,34.736,36.709,2012-10-10 14:56:00,2012-10-10 14:59:36.930764,2012-10-10 14:59:36.930764,http://blogs.aljazeera.com/topic/syria/residents-jouret-al-shayyah-neighbourhood-homs-are-enduring-shelling-government-forces,"",Red,16,2012-10-10 14:56:00,2012-11-09 14:56:00,"",19,f,t
380,Wildfires in Northern Idaho,"The Mustang Complex fire which was started by a lightning strike on the weekend of July 28-29 is currently only 16% contained and over 261,000 acres have been affected. Meanwhile, the Sheep Fire is almost 14,000 acres and is 10% contained.",45.436,-114.488,2012-09-10 21:17:00,2012-09-10 21:34:34.657556,2012-09-10 21:34:34.657556,http://www.kmvt.com/news/local/169195696.html,"",Yellow,16,2012-09-10 21:17:00,2012-09-20 21:17:00,"",5,f,t
346,Floods in Russia,"The death toll from this weekend’s catastrophic flash floods in southern Russia has climbed to at least 171 people, and authorities warn that figure is likely to increase.",44.935106,38.006252,2012-07-09 16:42:00,2012-07-09 16:45:29.469185,2012-09-24 23:31:54.078626,http://abcnews.go.com/blogs/headlines/2012/07/russia-floods-terrifying-wall-of-water-kills-at-least-144/,"",Yellow,16,2012-07-09 16:42:00,2012-07-19 16:42:00,"",6,f,t
366,Tropical Cyclone ISAAC,"Tropical Storm Isaac strengthened on Friday as it took aim at flood-prone Haiti, but it was not expected to become a hurricane until it barreled into the Gulf of Mexico early next week.",29.858,-89.914,2012-08-24 20:45:00,2012-08-24 20:53:36.122488,2012-09-11 19:40:46.866149,http://www.reuters.com/article/2012/08/24/us-storm-isaac-idUSBRE87L0PH20120824,"",Yellow,16,2012-08-24 20:45:00,2012-09-03 20:45:00,"",8,f,t
347,Heavy Rain in Japan,"Heavy rain triggered flash floods and mudslides in southern Japan on Thursday, causing at least 15 deaths and leaving 11 more people missing.

",32.811732,130.72134,2012-07-13 17:36:00,2012-07-13 17:43:05.280258,2012-07-31 17:53:54.788997,http://www.washingtonpost.com/world/asia_pacific/heavy-rain-causes-flooding-landslides-in-southern-japan-that-kill-9-leave-18-missing/2012/07/12/gJQAT1COfW_story.html,"",Yellow,16,2012-07-13 17:36:00,2012-07-28 17:36:00,"",10,f,t
401,Floods in Northern India,Three waves of devastating floods in India's northern state of Assam have left nearly 4.89 million displaced.  Flooding began in June this year and continued through September. 27 districts had been affected.,26.146084,91.735511,2012-10-15 18:55:00,2012-10-15 19:06:17.573016,2012-10-15 19:06:59.628169,http://europe.chinadaily.com.cn/world/2012-10/15/content_15818364.htm,"",Yellow,16,2012-10-15 18:55:00,2012-10-30 18:55:00,"",6,f,t
344,Floods in India,"Almost one million people have been forced to leave their homes by floods in India as torrential rains lash the north-eastern state of Assam, officials say.",26.192643,91.022243,2012-06-29 17:09:00,2012-06-29 17:13:09.71737,2012-07-31 17:54:54.241919,http://www.bbc.co.uk/news/world-asia-india-18639529,"",Orange,16,2012-06-29 17:09:00,2012-07-29 17:09:00,"",6,f,t
382,"Attack on US Consulate, Benghazi","Gunmen attacked U.S. consulate offices in Libya's eastern city of Benghazi on Tuesday, and fought with security forces in protest against a U.S. film they say is blasphemous, a security official said.",32.061507,20.08064,2012-09-12 17:46:00,2012-09-12 18:01:27.8996,2012-09-24 21:04:25.092453,http://www.cnn.com/2012/09/11/world/meast/egpyt-us-embassy-protests/index.html,"",Yellow,16,2012-09-12 17:46:00,2012-09-22 17:46:00,"",15,f,t
217,Massachusetts Tornados - Wilbraham,Tornado,42.1236,-72.431,2011-06-02 00:00:00,2011-06-03 16:44:00.23763,2011-06-03 16:44:00.23763,,,,,,,,1,f,t
351,London 2012 Summer Olympics,"The 2012 Summer Olympic Games, officially the Games of the XXX Olympiad, also known informally as London 2012, is scheduled to take place in London, United Kingdom, from 27 July until 12 August 2012.",51.538688,-0.016437,2012-07-27 16:23:00,2012-07-27 16:28:25.630048,2012-07-31 17:45:56.832775,http://www.bbc.co.uk/news/uk-19008471,"",Yellow,16,2012-07-27 16:23:00,2012-08-26 16:23:00,"",18,f,t
350,Wildfire in Spain,"Four people, three French nationals and one from Spain, have been killed in forest fires raging in the Spanish region of northern Catalonia. 

",42.338,2.887,2012-07-25 18:12:00,2012-07-25 18:13:41.932057,2012-07-31 17:49:59.188294,http://www.euronews.com/2012/07/23/four-killed-in-catalonia-fires-near-spain-france-border/,"",Yellow,16,2012-07-25 18:12:00,2012-08-04 18:12:00,"",5,f,t
348,Tropical Cyclone Vicente-12,"Vicente, this year's eighth typhoon, made landfall near the city of Taishan in Guangdong province early Tuesday, bringing gales and rainstorms to Guangdong and Guangxi.

",22.244854,112.788992,2012-07-25 15:44:00,2012-07-25 15:51:33.721257,2012-07-31 17:53:32.344442,http://news.xinhuanet.com/english/china/2012-07/25/c_131738793.htm,"",Yellow,16,2012-07-25 15:44:00,2012-08-04 15:44:00,"",8,f,t
342,"Demonstrations in Cairo, Egypt","One demonstrator was killed and 62 injured during massive demonstrations on Sunday in Cairo’s Tahrir Square in celebration of the announcement of Mohamed Morsy as Egypt’s new president, the Ministry of Health said Monday.",30.044472,31.235711,2012-06-25 17:59:00,2012-06-25 18:03:14.954194,2012-07-31 18:00:38.482704,http://www.egyptindependent.com/news/one-dead-62-injured-tahrir-sunday,"",Yellow,16,2012-06-25 17:59:00,2012-07-25 17:59:00,"",15,f,t
333,"Poco Fire, Arizona","The Poco Fire burning in the Tonto National Forest six miles northeast of Young, Arizona, is now 15% contained and has burned a total of 1,500 acres.

",34.177406,-110.874109,2012-06-18 16:55:00,2012-06-18 17:24:45.472199,2012-07-31 18:01:30.234739,http://www.wmicentral.com/news/latest_news/poco-fire-contained-burning-acres-near-young-arizona/article_5bccadb0-b6ad-11e1-979e-0019bb2963f4.html,"",Yellow,16,2012-06-18 16:55:00,2012-06-29 16:55:00,"",5,f,t
332,U.S. Open Golf Championship,"The United States Open Championship, known as the U.S. Open, is the annual open golf tournament of the United States. It is the second of four major championships in golf, and is on the official schedule of both the PGA Tour and the European Tour.",37.70866,-122.494597,2012-06-15 22:24:00,2012-06-15 22:40:45.306644,2012-07-31 18:04:19.647005,http://www.sfgate.com/cgi-bin/article.cgi?f=/g/a/2012/06/15/bloomberg_articlesM5O1RU6VDKHZ01-M5OG3.DTL,"",Yellow,16,2012-06-15 22:24:00,2012-06-25 22:24:00,"",18,f,t
331,Floods in Taiwan,"Torrential rain brought floods to counties in numerous parts of the country, forcing thousands of people to evacuate their homes.

",25.050147,121.497116,2012-06-13 18:51:00,2012-06-13 18:54:52.790841,2012-07-31 18:04:42.166727,http://www.bbc.co.uk/news/world-asia-18425274,"",Yellow,16,2012-06-13 18:51:00,2012-06-24 18:51:00,"",6,f,t
330,"Refugee Crisis in Afgooye, Somalia","The UN refugee agency said on Tuesday some 14,000 Somalis have been displaced from Afgooye, about 30km northwest of Mogadishu, as a result of military activity in the area which started a week ago.
",2.141,45.119,2012-06-12 19:53:00,2012-06-12 19:56:30.834912,2012-07-31 18:05:32.808387,http://www.coastweek.com/3522_somalia_05.htm,"",Orange,16,2012-06-12 19:53:00,2012-07-12 19:53:00,"",15,f,t
329,"Refugee Crisis in Rayhanli, Turkey","Nearly 400 Syrians poured into Turkey in the last 24 hours seeking refuge amid a recent surge in violence in the strife-torn country, a Turkish official said Saturday.",36.241279,36.618354,2012-06-12 19:45:00,2012-06-12 19:53:09.668838,2012-07-31 18:06:08.954216,http://www.nowlebanon.com/NewsArchiveDetails.aspx?ID=404321,"",Yellow,16,2012-06-12 19:45:00,2012-06-22 19:45:00,"",15,f,t
328,"Reported Massacre in Qubair, Syria","Activists said pro-government militia men and security forces killed at least 78 people, including children, in Syria's central province of Hama on Wednesday.

",35.204,36.555,2012-06-12 19:36:00,2012-06-12 19:45:18.652498,2012-07-31 18:06:55.855377,http://www.huffingtonpost.com/2012/06/06/hama-massacre-qubair-syria_n_1575600.html,"",Orange,16,2012-06-12 19:36:00,2012-07-22 19:36:00,"",15,f,t
327,"High Park Fire, Colorado","At least 18 structures have been burned in the fast-moving High Park Fire, which has consumed about 14,000 acres, forced hundreds of people to evacuate their homes and spewed plumes of smoke so thick they hide the Rocky Mountains. ",40.629726,-105.376986,2012-06-10 21:25:00,2012-06-10 21:31:15.816982,2012-07-31 18:41:38.779106,http://www.denverpost.com/breakingnews/ci_20826343/high-park-fire-may-be-14-000-acres-colorado,"",Yellow,16,2012-06-10 21:25:00,2012-06-21 21:25:00,"",5,f,t
326,EURO 2012,"The 2012 UEFA European Football Championship, will be the 14th European Championship for national football teams organized by UEFA. The final tournament is being hosted by Poland and Ukraine between 8 June and 1 July 2012.",52.239444,21.045556,2012-06-08 15:10:00,2012-06-08 15:15:02.514362,2012-07-31 18:43:34.69162,http://edition.cnn.com/2012/06/07/sport/football/football-euro-2012-poland-ukraine/index.html,"",Yellow,16,2012-06-08 15:10:00,2012-07-08 15:10:00,"",18,f,t
